1,1,1,224,85
1,2,1,261,83
1,3,1,301,83
1,4,1,341,82
1,5,1,381,81
1,6,1,420,81
1,7,1,462,80
2,1,1,224,124
2,2,1,262,122
2,3,1,301,122
2,4,1,342,121
2,5,1,382,121
2,6,1,421,121
2,7,1,462,120
3,1,1,222,163
3,2,1,262,162
3,3,1,301,162
3,4,1,341,161
3,5,1,382,160
3,6,1,422,159
3,7,1,463,159
4,1,1,220,202
4,2,1,261,202
4,3,1,301,201
4,4,1,341,201
4,5,1,382,201
4,6,1,423,199
4,7,1,424,199
5,1,1,220,242
5,2,1,260,241
5,3,1,300,241
5,4,1,341,242
5,5,1,382,241
5,6,1,423,241
5,7,1,465,240
6,1,2,219,282
6,2,2,259,282
6,3,2,301,282
6,4,2,341,282
6,5,2,382,282
6,6,2,424,282
6,7,2,466,281
7,1,1,217,324
7,2,1,259,324
7,3,1,300,323
7,4,1,341,324
7,5,1,382,325
7,6,1,424,323
7,7,1,466,324
